stop_id,stop_name,stop_lat,stop_lon
"0011423","Leipzig, Schenkendorfstr.","51.324501","12.369512"
"0011425","Markkleeberg, Virchowstr.","51.279585","12.393519"
"0011426","Leipzig, Dölitz, Straßenbahnhof","51.284801","12.394707"
"0011428","Leipzig, Dölitz, Am Eichwinkel","51.283004","12.395305"
"0011524","Leipzig, Am Sportpark","51.357203","12.315100"
"0011525","Leipzig, Auensee","51.370207","12.315006"
"0011526","Leipzig, Wittestr.","51.347705","12.301506"
"0011527","Leipzig, Ernst-Keil-Str.","51.340504","12.300500"
"0011529","Leipzig, Plaut-/Schomburgkstr.","51.337505","12.297801"
"0011535","Leipzig, Ahornstr.","51.356202","12.460206"
"0011536","Leipzig, Paunsdorf Nord","51.361267","12.470470"
"0011538","Leipzig, Am Vorwerk","51.352905","12.459210"
"0011539","Leipzig, Barbarastr.","51.345605","12.450002"
"0011540","Leipzig, Paunsdorf, Straßenbahnhof","51.345705","12.457605"
"0011541","Leipzig, Ostheimstr.","51.345604","12.436606"
"0011542","Leipzig, Theodor-Heuss-Str.","51.346400","12.444706"
"0011543","Leipzig, Hermelinstr.","51.358800","12.473601"
"0011553","Leipzig, Richard-Lehmann-/Zwickauer Str.","51.314607","12.395101"
"0011554","Leipzig, Altenburger Str.","51.315002","12.383006"
"0011555","Leipzig, Deutscher Platz","51.321601","12.399507"
"0011556","Leipzig, An der Tabaksmühle","51.314105","12.406801"
"0011557","Leipzig, Johannisallee","51.327306","12.388806"
"0011558","Leipzig, Deutsche Nationalbibliothek","51.323572","12.395706"
"0011559","Leipzig, Meusdorf","51.294501","12.439711"
"0011563","Leipzig, Arthur-Hoffmann-/Richard-Lehmann-Str.","51.315007","12.378501"
"0011564","Leipzig, Karl-Liebknecht-/Kurt-Eisner-Str.","51.320708","12.373510"
"0011584","Leipzig, Härtelstr.","51.332802","12.377557"
"0011638","Cunnersdorf (Borsdorf)","51.366008","12.561930"
"0011640","Borsdorf (Sachsen), Heimatmuseum","51.347741","12.533904"
"0011641","Göhrenz (Markranstädt), Albersdorfer Str.","51.289990","12.259416"
"0011646","Großdeuben, Martin-Luther-Str. (Böhlen)","51.237532","12.385063"
